Average Distance,Average X,Average Y,Average Pairwise Distance,timestamp
162585.0069,224,170,166.6357,2021-10-01 13:29:44
162585.0069,-1,-1,-1.0,2021-10-01 18:46:01
66683.5914,227,163,173.273,2021-10-02 06:49:02
162697.401,197,145,188.7831,2021-10-01 11:05:13
72111.9953,189,129,169.3127,2021-10-02 06:23:55
236291.1879,222,153,171.6574,2021-10-01 16:45:31
148457.0773,200,146,183.9244,2021-10-02 09:39:43
174838.6326,203,155,173.5818,2021-10-01 11:00:11
47226.1541,342,135,91.9244,2021-10-01 11:50:24
47226.1541,-1,-1,-1.0,2021-10-02 01:47:46
47226.1541,-1,-1,-1.0,2021-10-01 19:01:05
201992.1748,255,176,164.056,2021-10-01 16:35:29
180081.8343,211,141,170.8654,2021-10-01 16:50:32
180081.8343,-1,-1,-1.0,2021-10-02 01:27:41
152137.4092,207,163,167.1951,2021-10-01 16:05:21
152137.4092,-1,-1,-1.0,2021-10-02 02:17:54
98030.6056,187,157,177.0194,2021-10-01 09:44:53
98030.6056,-1,-1,-1.0,2021-10-01 18:15:53
154763.4766,202,168,168.3524,2021-10-01 16:10:23
100552.4916,221,136,171.2392,2021-10-02 07:24:10
100552.4916,-1,-1,-1.0,2021-10-02 02:43:00
100552.4916,-1,-1,-1.0,2021-10-02 03:48:16
100552.4916,-1,-1,-1.0,2021-10-02 00:57:34
100552.4916,-1,-1,-1.0,2021-10-01 23:57:19
118287.0093,217,145,170.7528,2021-10-01 15:50:18
155040.9806,226,165,186.2414,2021-10-01 13:24:43
155040.9806,-1,-1,-1.0,2021-10-01 20:56:33
97472.7613,186,149,171.8191,2021-10-01 09:34:51
111258.3876,217,168,179.177,2021-10-01 09:09:45
107123.0731,207,149,170.5759,2021-10-01 08:54:41
135101.1693,205,153,158.1721,2021-10-01 17:05:36
104644.6527,216,142,167.4874,2021-10-02 07:39:14
180702.7086,252,188,159.3202,2021-10-01 16:20:25
180702.7086,-1,-1,-1.0,2021-10-01 23:22:10
180702.7086,-1,-1,-1.0,2021-10-02 04:53:33
101300.2754,234,158,175.6553,2021-10-02 07:29:11
68252.2108,284,146,101.1168,2021-10-01 11:45:22
190345.5754,230,156,154.4118,2021-10-01 13:54:50
105504.9711,249,121,129.4252,2021-10-01 12:09:24
105504.9711,-1,-1,-1.0,2021-10-02 02:37:59
105504.9711,-1,-1,-1.0,2021-10-01 22:52:02
87073.3187,199,147,177.8736,2021-10-02 07:14:08
108360.1959,221,144,179.4425,2021-10-02 07:59:18
108360.1959,-1,-1,-1.0,2021-10-01 23:52:17
146379.7066,208,144,154.7504,2021-10-01 13:34:45
152551.7428,268,202,160.6864,2021-10-01 16:30:27
152551.7428,-1,-1,-1.0,2021-10-01 22:57:04
128891.6045,195,137,164.5427,2021-10-02 08:54:32
127091.2624,213,140,173.6897,2021-10-02 09:19:38
115077.8841,199,155,184.3432,2021-10-01 10:40:07
94658.1214,210,146,154.9312,2021-10-02 06:08:52
118045.8581,209,157,193.7848,2021-10-01 10:25:03
133673.8473,249,128,142.9492,2021-10-01 12:39:32
133673.8473,-1,-1,-1.0,2021-10-01 18:41:00
133673.8473,-1,-1,-1.0,2021-10-01 20:11:22
109722.8973,188,136,146.3453,2021-10-01 15:35:14
160850.8046,215,154,175.0416,2021-10-01 14:40:01
160850.8046,-1,-1,-1.0,2021-10-01 20:51:32
160850.8046,-1,-1,-1.0,2021-10-01 21:31:42
160850.8046,-1,-1,-1.0,2021-10-02 01:12:37
160850.8046,-1,-1,-1.0,2021-10-01 18:25:56
160850.8046,-1,-1,-1.0,2021-10-01 23:47:16
160850.8046,-1,-1,-1.0,2021-10-02 05:18:39
160850.8046,-1,-1,-1.0,2021-10-02 05:33:43
107340.6124,305,220,148.6445,2021-10-01 16:25:26
91034.6108,217,167,175.6739,2021-10-02 06:54:03
102337.8859,226,172,190.1446,2021-10-02 06:59:04
170668.4451,200,160,184.8525,2021-10-01 10:09:59
170668.4451,-1,-1,-1.0,2021-10-01 19:26:11
170668.4451,-1,-1,-1.0,2021-10-01 22:31:57
170668.4451,-1,-1,-1.0,2021-10-02 03:18:09
170668.4451,-1,-1,-1.0,2021-10-01 21:21:40
146237.5832,209,149,179.137,2021-10-02 09:04:34
133376.2571,214,142,168.9329,2021-10-02 08:59:33
133376.2571,-1,-1,-1.0,2021-10-02 05:13:38
57412.9683,244,139,146.6725,2021-10-02 05:58:49
57412.9683,-1,-1,-1.0,2021-10-01 23:32:12
57412.9683,-1,-1,-1.0,2021-10-02 05:23:40
57412.9683,-1,-1,-1.0,2021-10-01 19:16:08
57412.9683,-1,-1,-1.0,2021-10-02 04:28:26
57412.9683,-1,-1,-1.0,2021-10-01 19:21:10
57412.9683,-1,-1,-1.0,2021-10-01 23:17:09
57412.9683,-1,-1,-1.0,2021-10-01 20:31:27
57412.9683,-1,-1,-1.0,2021-10-02 04:13:23
74549.3565,236,135,145.1799,2021-10-02 05:53:48
73824.5325,210,164,185.9501,2021-10-02 06:38:59
110427.9901,195,152,177.8036,2021-10-01 14:50:03
80689.1313,215,170,177.2233,2021-10-02 06:33:58
119355.3237,232,144,141.9364,2021-10-01 17:20:40
156561.9611,226,128,131.5966,2021-10-01 11:35:20
156561.9611,-1,-1,-1.0,2021-10-01 21:11:37
156561.9611,-1,-1,-1.0,2021-10-02 01:32:42
156561.9611,-1,-1,-1.0,2021-10-02 03:03:05
107640.9231,191,157,186.0037,2021-10-01 09:29:50
107640.9231,-1,-1,-1.0,2021-10-01 19:36:13
146285.0477,208,142,163.5073,2021-10-01 14:35:00
85077.4705,192,133,163.6862,2021-10-02 06:28:57
104736.8548,187,147,177.2298,2021-10-02 09:49:45
104736.8548,-1,-1,-1.0,2021-10-02 00:47:31
142765.1637,189,140,169.1408,2021-10-01 14:55:04
113643.6031,210,149,172.4613,2021-10-02 09:54:46
113643.6031,-1,-1,-1.0,2021-10-02 01:37:44
219073.0956,225,152,160.1149,2021-10-01 13:49:49
219073.0956,-1,-1,-1.0,2021-10-01 18:30:57
219073.0956,-1,-1,-1.0,2021-10-01 22:01:50
100440.1707,227,140,159.859,2021-10-02 08:39:28
100440.1707,-1,-1,-1.0,2021-10-02 00:37:29
100440.1707,-1,-1,-1.0,2021-10-01 23:42:15
209638.8729,219,155,163.8703,2021-10-01 14:09:53
136051.4558,201,152,149.5892,2021-10-01 15:05:07
136051.4558,-1,-1,-1.0,2021-10-01 20:21:25
136051.4558,-1,-1,-1.0,2021-10-01 22:21:55
136051.4558,-1,-1,-1.0,2021-10-02 02:22:55
136051.4558,-1,-1,-1.0,2021-10-01 21:06:36
196424.3002,192,144,176.3239,2021-10-01 15:20:10
162639.2609,204,142,173.2928,2021-10-01 12:24:28
162639.2609,-1,-1,-1.0,2021-10-02 00:02:20
140087.3538,253,129,159.3518,2021-10-01 12:49:34
140087.3538,-1,-1,-1.0,2021-10-02 00:12:22
163859.8666,218,163,175.383,2021-10-01 16:15:24
163859.8666,-1,-1,-1.0,2021-10-01 21:16:38
143229.3679,204,163,191.6788,2021-10-01 10:20:02
143229.3679,-1,-1,-1.0,2021-10-02 05:28:41
143229.3679,-1,-1,-1.0,2021-10-01 20:16:23
153977.1532,221,145,183.2983,2021-10-01 11:10:14
153977.1532,-1,-1,-1.0,2021-10-02 05:38:44
153977.1532,-1,-1,-1.0,2021-10-02 03:53:18
147572.2799,205,154,160.1903,2021-10-01 15:10:08
153708.5099,221,167,193.5915,2021-10-01 10:45:08
161978.0229,235,127,144.5589,2021-10-01 12:34:30
161978.0229,-1,-1,-1.0,2021-10-02 00:17:24
161978.0229,-1,-1,-1.0,2021-10-01 19:11:07
114901.9988,229,184,187.3144,2021-10-01 09:54:56
53649.9822,242,152,150.919,2021-10-01 17:45:46
53649.9822,-1,-1,-1.0,2021-10-02 00:27:26
53649.9822,-1,-1,-1.0,2021-10-02 03:13:08
53649.9822,-1,-1,-1.0,2021-10-01 20:36:28
53649.9822,-1,-1,-1.0,2021-10-01 18:20:55
53649.9822,-1,-1,-1.0,2021-10-01 18:10:52
154379.78,202,153,160.7944,2021-10-01 16:55:34
66930.7388,219,163,180.256,2021-10-02 06:44:00
